N,seed,weight_reg_one,val_loss_inverse_distortion,val_loss_inverse_distortion_clamped,val_reg_one,val_reg_one_clamped,val_reg_zero,val_reg_zero_clamped
14,738,0.0,0.0008855853811837733,0.0008855853811837733,4.399148941040039,4.399148941040039,0.3614155352115631,0.3614155352115631
14,861,0.0,0.0002262003836221993,0.0002262003836221993,3.934530258178711,3.934530258178711,0.360713392496109,0.360713392496109
14,984,0.0,0.0003338964597787708,0.0003338964597787708,0.015214448794722557,0.015214448794722557,0.3582390546798706,0.3582390546798706
14,123,0.25,0.00661111855879426,0.00661111855879426,0.013131421059370041,0.013131421059370041,0.3219038248062134,0.3219038248062134
14,246,0.25,0.006609698291867971,0.006609698291867971,0.014254273846745491,0.014254273846745491,0.3261090815067291,0.3261090815067291
14,369,0.25,0.006688995286822319,0.006688995286822319,0.012893665581941605,0.012893665581941605,0.3237887918949127,0.3237887918949127
14,492,0.25,0.006998533848673105,0.006998533848673105,0.012670880183577538,0.012670880183577538,0.3220959007740021,0.3220959007740021
14,615,0.25,0.0065141343511641026,0.0065141343511641026,0.01442516129463911,0.01442516129463911,0.32927536964416504,0.32927536964416504
14,738,0.25,0.006400490645319223,0.006400490645319223,0.013127743266522884,0.013127743266522884,0.32044923305511475,0.32044923305511475
14,861,0.25,0.006725342478603125,0.006725342478603125,0.013082612305879593,0.013082612305879593,0.3240796625614166,0.3240796625614166
14,984,0.25,0.006544004660099745,0.006544004660099745,0.013842761516571045,0.013842761516571045,0.32494235038757324,0.32494235038757324
15,123,0.0,0.00033345099654980004,0.00033345099654980004,0.23635078966617584,0.23635078966617584,0.35574105381965637,0.35574105381965637
15,246,0.0,0.00023662653984501958,0.00023662653984501958,0.07716482877731323,0.07716482877731323,0.3561912178993225,0.3561912178993225
15,369,0.0,0.00023549979960080236,0.00023560556292068213,0.26801997423171997,0.26801997423171997,0.35914021730422974,0.35913610458374023
15,492,0.0,0.00020438278443180025,0.00020438278443180025,3.9720046520233154,3.9720046520233154,0.3566126823425293,0.3566126823425293
15,615,0.0,0.00023408183187711984,0.00023408183187711984,0.07937850803136826,0.07937850803136826,0.3564247786998749,0.3564247786998749
15,738,0.0,0.00047016190364956856,0.00047016190364956856,0.013128871098160744,0.013128871098160744,0.35932135581970215,0.35932135581970215
15,861,0.0,0.0003019364085048437,0.0003019364085048437,2.944476842880249,2.944476842880249,0.3572953939437866,0.3572953939437866
15,984,0.0,0.0002317779726581648,0.0002317779726581648,0.15452393889427185,0.15452393889427185,0.3559552729129791,0.3559552729129791
15,123,0.25,0.010557153262197971,0.010557153262197971,0.015955114737153053,0.015955114737153053,0.29157590866088867,0.29157590866088867
15,246,0.25,0.0005288061802275479,0.0005288061802275479,0.0015032931696623564,0.0015032931696623564,0.36477088928222656,0.36477088928222656
15,369,0.25,0.010727070271968842,0.010727070271968842,0.015701062977313995,0.015701062977313995,0.29029369354248047,0.29029369354248047
15,492,0.25,0.05889665335416794,0.19584932923316956,0.003384365700185299,0.003384365700185299,1.2854434251785278,0.3906193971633911
15,615,0.25,0.010329258628189564,0.010329258628189564,0.003115971339866519,0.003115971339866519,0.3283652067184448,0.3283652067184448
15,738,0.25,0.0006728384760208428,0.0006728384760208428,0.0015572921838611364,0.0015572921838611364,0.36310866475105286,0.36310866475105286
15,861,0.25,0.059328846633434296,0.20106860995292664,0.0033564907498657703,0.0033564907498657703,1.287479281425476,0.38990193605422974
